2025-07-02 19:26:49, Run: 187, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:26:54, Run: 188, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:27:00, Run: 189, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:27:06, Run: 190, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:27:11, Run: 191, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:27:17, Run: 192, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:27:23, Run: 193, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:27:28, Run: 194, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:27:34, Run: 195, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:27:40, Run: 196, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:27:45, Run: 197, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:27:51, Run: 198, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:27:57, Run: 199, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:28:02, Run: 200, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:28:08, Run: 201, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:28:13, Run: 202, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:28:19, Run: 203, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:28:25, Run: 204, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:28:31, Run: 205, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:28:36, Run: 206, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:28:42, Run: 207, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:28:48, Run: 208, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:28:53, Run: 209, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
